Font Name,Keywords
vollkorn,"timeless serif, versatile readability, web and print friendly, classic elegance, strong presence"
zillaslab,"contemporary, industrial, approachable, sophisticated, headlines"
trirong,"serif latin and looped thai typeface, thick and thin strokes, narrow and tall structure, space-saving design, readable oval-shaped terminals"
prata,"elegant didone typeface, sharp features, organic teardrops, tension in contrast, virile serifs, soft curves"
chilanka,"handwriting style, malayalam script, casual, everyday use, personal touch"
athiti,"informal sans typeface, humanist calligraphy influence, organic and friendly, loopless thai script, traditional yet contemporary"
mukta,"versatile contemporary typeface, humanist design influence, multi-script support, unified type family, libre licensed font"
sarabun,"multi-script, webfont, latin and thai support, versatile, modern and accessible"
kadwa,"devanagari typeface, slab serif influence, versatile text font, cultural fusion, classic elegance"
sura,"devanagari typeface, serif style, multilingual design, editorial projects, classic elegance"
ibarrarealnova,"classic revival, historical elegance, literary tribute, editorial design, sophisticated charm."
faustina,"editorial typography, versatile, legible, classic elegance, digital-friendly."
librefranklin,"unique typography, modern design, versatile application, bold aesthetic, creative expression"
khand,"display typography, strong commonality, headline usage, balanced variety, versatile typeface"
thasadith,"humanist sans serif, rounded corners, friendly and approachable, modern and versatile, ideal for ui design"
yrsa,"web-friendly readability, multilingual support, serif elegance, editorial versatility, global cultural influence"
nunito,"friendly sans-serif, rounded terminals, approachable, versatile for UI and headings"
rubik,"sans serif with rounded corners, modern geometric design, versatile weight options, roman and italic styles, clean and contemporary aesthetic"
simonetta,"italian humanistic-inspired, contemporary elegance, soft serifs and drops, slightly slanted design, modern yet classic"
gloock,"high-contrast serif, contemporary display font, newspaper-inspired, bold headlines, modern interpretation"
inter,"readability-focused design, opentype features, versatile for mixed-case text, clear punctuation adjustments, numeric versatility"
orbitron,"geometric, display, versatile weights, stylistic alternatives, modern display font"
mulish,"minimalist sans serif, versatile display, text typography, clean and refined, user-centric refinement"
limelight,"art deco-inspired, geometric sans serif, 1920s nostalgia, hollywood glamour, theatrical elegance"
play,"minimalistic sans serif, large open counters, ample x-heights, corporate yet friendly, versatile for various projects"
mada,"modernist arabic typeface, inspired by cairo road signage, low descenders & contrast, suitable for signage & ui, clean & legible"
ralewaydots,"dotted display font, geometric sans-serif influence, versatile for posters, stylistic alternates, modern headline typeface"
amiko,"clean and utilitarian, maximum legibility, body text focus, web and screen readability, small text sizes"
fugazone,"geometric features, gestural characteristics, dynamic, sans serif, italic inclination"
francoisone,"traditional gothic display, webfont optimization, bold display, sans serif, modern web design"
markazitext,"arabic-inspired, collaborative project, moderate contrast, versatile, elegant"
changa,"uppercase emphasis, minimal line spacing, extra-bold display, versatile typographic tool, strong visual impact"
rufina,"hybrid typographic style, bodoni-inspired forms, high contrast design, versatile for text and headlines, elegantly flexible aesthetic"
oxanium,"futuristic display font, intuitive legibility, angular charisma, space-age design, versatile for ui and headlines"
nanumgothic,"contemporary, warm touch, sans-serif, screen-friendly, korean-language"
tajawal,"distinctive arabic and latin typeface, modern geometric style, fluid geometry, print and web applications, harmonious with latin typefaces"
majormonodisplay,"monospaced geometric sans serif, constructivist display characters, playful attitude, opentype features, serious yet playful design"
exo2,"geometric sans serif, technological, futuristic, elegant design, versatile with 9 weights"
coda,"impact-heavy display font, web-friendly design, bold information delivery, practical and unassuming, large size emphasis"
